Application,Features
BM,1.7579234922,0.8670954908,-0.3947071573,-1.0958749607,1.4674332031,1.6970669106,-1.5444904727,
Xact,2.3326152697,-0.5669041052,0.0054295644,-0.4344305472,1.8153902378,0.2655274427,0.0019428427,
CL,2.0937292096,-1.4260093740,0.1524794170,0.7777036457,-1.0547401558,-0.4904461332,0.4521682249,
COL,1.9366586946,-0.8405216773,-0.0427748989,-0.0173152550,-0.0092263589,0.6047861618,-0.6930419651,
CUS,-4.9539986699,-2.1654105852,-4.1325660962,-8.1572883655,-3.7882294882,2.5970764010,2.8941251999,
PI2,0.3467961097,-0.7289780954,-0.1254652977,-1.8318711621,-1.6918853157,1.0942153974,-0.2058372583,
IMT,2.3971959156,-0.9249061725,0.3361104620,0.2634588376,0.1979854095,0.0903655970,0.0233318239,
NCS,0.8584724146,-2.0634383415,-0.0154680538,-0.7566700961,-0.6489697821,-0.1709777185,0.9106737761,
TAX,0.8299707900,-0.7741847770,0.1559743769,1.1973584719,-0.9206546538,-1.1667950696,1.8936616637,
AM,-4.3754004439,0.5569799451,-3.8982452594,4.8122737577,-3.0776120918,-0.4892073264,5.2690767386,
AV,2.1895708188,-1.1064533491,0.4436223342,0.9234717246,-0.4265939414,-0.4356885619,0.3669215763,
DSRV,0.1948379207,-0.0307025981,0.5387730776,-0.4030820333,-2.0672310635,-1.7049065297,-0.6767856106,
GAIN,1.4104860354,-1.4564291216,0.7581823780,0.3485187765,-0.7143668305,-0.0370904426,0.2610325438,
HYPA,1.3511046639,-1.1941491283,0.7611300224,-0.0288645456,-0.1328787778,-1.3674661380,-0.2952433327,
MARS,1.8960168226,-1.0033078049,0.8897326352,0.5500107525,-0.5314556095,-0.7532652052,-0.8124795272,
RDF,-12.7741101937,-8.7451129151,4.1566057817,1.9791154216,3.1801112432,0.6041752211,-1.1742070876,
CmaX,-0.6943467547,1.4750706048,2.0522235146,-0.5393406011,0.8955502933,2.9272724985,0.4706339605,
C4I,1.5568784061,0.6575343317,0.2380942786,0.3371072269,0.7261145192,0.2834155525,-1.0067934589,
V+,1.5732415564,0.3569862797,-1.0956354326,-0.4698749824,1.3298190917,1.7986165274,-1.8177528165,
BRDG,1.5916601774,-1.7359931126,0.3443378361,1.6237527407,-1.8468783409,-1.5767906054,-0.5997903170,
CCG,2.2949385717,-1.9166666897,0.7191499611,1.1358180954,-1.3229830914,-1.0912887551,0.4741524418,
CSE,-3.7921154965,2.9047037853,-6.4510661166,3.5006011208,-0.8827373201,3.2185048571,-6.5011121570,
DDR,1.3840513313,0.3499117829,0.8078582643,-0.5356561274,-0.7994082379,-1.8034824205,-0.5584558151,
LCS,2.3005974011,-0.9782038547,0.6807798438,1.5259161352,-0.9267694496,-1.2588958774,-0.2139072581,
NCCIP,-4.6933154992,10.5064691914,4.7458932509,2.6359861863,-1.6111144057,2.1241395574,2.2898129256,
NCMS,1.7472081439,-0.3893786847,1.0676968765,1.3274642638,-0.6805150202,0.0110076052,0.2003036620,
NOS,1.9459083352,-0.5473436645,-0.1701520091,0.9200393650,-0.3771844350,-0.3019716969,-0.3316107051,
PMC,0.0908571565,1.9299334580,-4.0272517665,-0.1906997112,8.5073318848,-3.6129846126,2.9842172053,
PMI,-0.8637009943,1.4859247633,-3.0819929651,0.3919010605,3.4131482082,2.2098024391,1.6473963863,
RS,-0.2710374383,3.7874047015,4.4603065630,-4.1702982770,2.4860961556,1.9710035515,-0.4733856036,
RTS,-5.9232159313,4.6872497692,-0.3980533513,-3.5654016517,-1.2894819337,-8.1220658962,-3.0197423616,
STOP,1.8166487136,-0.0025243330,0.4280033193,-0.0540898303,0.4863479386,1.0384368850,0.0054797696,
T2SI,2.4438734713,-0.9686457191,0.0909946468,-1.9997394362,0.2955881183,1.8479103837,-0.2202949939,
