Application,BMWeb_IN,Clearstream Portal_IN,Codelist_IN,CreationOnline_IN,Custody_IN,Import/PI2_IN,NCS_IN,Tax Cluster_IN,AM_IN,Dataserver_IN,GAIN_IN,Hyparchive_IN,MARS_IN,RDF_IN,CmaX_IN,4Sight/C4I_IN,Vestima+_IN,Bridge Connectivity_IN,Common Code Generator_IN,CSE_IN,DDR_IN,Mainframe (Residual LCS)_IN,NCCIP_IN,NCMS/CEMT_IN,NOSTRO_IN,PM/CSD_IN,PM/ICSD_IN,Report Server_IN,RTS_IN,STOP_IN,T2S-I_IN,Clearstream Portal_OUT,CreationOnline_OUT,Custody_OUT,Import/PI2_OUT,NCS_OUT,Tax Cluster_OUT,AM_OUT,Dataserver_OUT,GAIN_OUT,Hyparchive_OUT,RDF_OUT,CmaX_OUT,4Sight/C4I_OUT,Vestima+_OUT,Bridge Connectivity_OUT,Common Code Generator_OUT,CSE_OUT,DDR_OUT,Mainframe (Residual LCS)_OUT,NCCIP_OUT,NCMS/CEMT_OUT,PM/CSD_OUT,PM/ICSD_OUT,Report Server_OUT,RTS_OUT,STOP_OUT,T2S-I_OUT,MarketData_Analytics,Trading,Settlement,Asset_Servicing,Liquidity_Management,Business_Operations,Connectivity,linux,MVS,LB,HL,PH,SH,PS,BV,
AV,-0.5525643182,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.5688634025,-0.4781422391,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,-0.4529108137,-0.4417767826,-0.3143538442,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,-0.6559748702,-0.4288450139,-0.2919727474,-0.3868392355,-0.5850807924,-0.3263988575,-0.2060788209,-0.1740776560,-0.8266511790,-0.5022002067,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.4995677357,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,-0.3651483717,-0.4599755644,-0.5317741400,-0.6412420144,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,-0.4161251893,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
DSRV,-0.5525643182,-0.2686326403,5.5704849906,0.9058216273,-0.0588321818,1.9226955359,-0.2716271179,3.2673480025,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.5688634025,-0.4781422391,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,-0.4529108137,-0.4417767826,-0.3143538442,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,0.8684737718,0.8576900279,-0.2919727474,-0.3868392355,1.8501203436,-0.3263988575,-0.2060788209,-0.1740776560,0.7547684678,-0.5022002067,-0.2222865506,-0.4759881433,0.4045199175,-0.1740776560,1.8142196718,-0.3113995777,-0.1740776560,0.5035255349,-0.4161251893,-0.3651483717,-0.4599755644,0.2312061478,1.1470103638,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,-0.4161251893,1.2214096331,-0.3113995777,0.3113995777,-0.3113995777,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
GAIN,-0.5525643182,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,1.4073583908,-0.2987654748,2.1917972273,-0.4781422391,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,-0.4529108137,-0.4417767826,-0.3143538442,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,-0.6559748702,-0.4288450139,-0.2919727474,-0.3868392355,-0.4111378541,-0.3263988575,-0.2060788209,-0.1740776560,-0.0359413556,0.3700422576,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.2103443098,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,-0.3651483717,-0.4599755644,-0.5317741400,-0.6412420144,-0.3536097742,-0.1873302496,3.1139957766,-0.1740776560,-0.6030226892,-0.4161251893,-0.4161251893,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
HYPA,-0.5525643182,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.0167312765,-0.4781422391,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,-0.4529108137,-0.4417767826,-0.3143538442,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,-0.6559748702,2.1442250697,-0.2919727474,-0.3868392355,-0.4111378541,-0.3263988575,0.9273546941,-0.1740776560,-0.4312962673,-0.5022002067,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.4995677357,-0.3113995777,-0.1740776560,-0.3004910450,2.3303010600,-0.3651483717,-0.4599755644,0.2312061478,-0.6412420144,1.3134077327,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,-0.4161251893,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
MARS,-0.5525643182,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.5688634025,-0.4781422391,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,-0.4529108137,-0.4417767826,-0.3143538442,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,1.4782532286,-0.4288450139,-0.2919727474,-0.3868392355,-0.5850807924,-0.3263988575,-0.2060788209,-0.1740776560,3.1268979381,-0.5022002067,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.4995677357,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,-0.3651483717,-0.4599755644,-0.5317741400,0.8489683007,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,-0.4161251893,1.2214096331,-0.3113995777,0.3113995777,-0.3113995777,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
RDF,0.4604702652,-0.2686326403,-0.1740776560,0.9058216273,-0.4471245820,-0.5333929551,2.2894285651,0.5717859004,-0.2501221598,0.8748264829,4.1851809905,1.4073583908,4.1827166471,-0.5688634025,1.4460887233,4.7160507580,0.1175668374,1.2360831256,5.5704849906,0.2840952264,1.7533345159,0.7213357077,-0.3207526750,5.2183868093,-0.2757801013,-0.2716945696,-0.4529108137,0.9921872003,1.1675999928,0.7663876370,0.6440933198,-0.2542801708,-0.1740776560,1.7831429570,3.4307601115,2.1168024189,-0.3868392355,-0.5850807924,-0.3263988575,5.4610887539,5.5704849906,-0.8266511790,0.3700422576,-0.2222865506,-0.4759881433,1.8877596149,5.5704849906,0.3681025421,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,0.0000000000,-0.1299930943,-0.5317741400,0.2528841747,-0.3536097742,0.1380328155,3.1139957766,-0.1740776560,-0.6030226892,2.3303010600,-0.4161251893,1.2214096331,-0.3113995777,0.3113995777,-0.3113995777,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
CmaX,0.4604702652,-0.2686326403,-0.1740776560,2.2645540683,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,1.9210666842,-0.5277593966,-0.2987654748,-0.0167312765,-0.4781422391,1.6843038421,-0.3673963669,-0.2746851390,-0.1740776560,0.5865191772,-0.2887845085,-0.3606678539,-0.0183287243,-0.2484946100,-0.2757801013,-0.2716945696,0.9058216273,0.7531932032,-0.3143538442,-0.5647066799,-0.2800405738,0.1873643364,-0.1740776560,0.8684737718,-0.4288450139,-0.2919727474,-0.3868392355,-0.2371949158,-0.3263988575,-0.2060788209,-0.1740776560,1.1501233795,-0.5022002067,1.6115774915,1.0947727296,-0.3370999312,-0.1740776560,1.8142196718,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,2.9211869734,2.1798841967,-0.5317741400,-0.3431999514,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,2.3303010600,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,-1.0150384378,-0.1740776560,5.5704849906,-0.4161251893,-0.2501221598,-0.5109523080,
C4I,-0.5525643182,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.5688634025,-0.0932960467,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,1.5851878478,-0.4417767826,-0.3143538442,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,-0.3510851418,-0.4288450139,-0.2919727474,-0.3868392355,-0.4111378541,-0.3263988575,-0.2060788209,-0.1740776560,1.1501233795,1.2422847218,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.4995677357,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,-0.3651483717,0.1999893758,-0.5317741400,-0.6412420144,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,2.3303010600,-0.7939162615,-0.3113995777,0.3113995777,-0.3113995777,-1.0150384378,-0.1740776560,-0.1740776560,2.3303010600,-0.2501221598,-0.5109523080,
V+,0.4604702652,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.5333929551,-0.2716271179,-0.3267348002,-0.2501221598,-0.4374132415,-0.3430476222,-0.5277593966,-0.2987654748,-0.5688634025,-0.0932960467,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,-0.3207526750,-0.2887845085,-0.3606678539,0.2840952264,-0.2484946100,-0.2757801013,-0.2716945696,0.9058216273,-0.2027827855,-0.0673615380,0.7663876370,-0.2800405738,-0.2542801708,-0.1740776560,-0.0461954134,-0.4288450139,-0.2919727474,-0.3868392355,-0.0632519776,-0.3263988575,-0.2060788209,-0.1740776560,-0.4312962673,-0.5022002067,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.4995677357,3.1139957766,-0.1740776560,2.1115586949,-0.4161251893,-0.3651483717,1.5199192564,0.9941864356,-0.6412420144,-0.3536097742,-0.1873302496,-0.3113995777,5.5704849906,-0.6030226892,-0.4161251893,-0.4161251893,1.2214096331,-0.3113995777,0.3113995777,-0.3113995777,-1.0150384378,5.5704849906,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
BRDG,-0.5525643182,-0.2686326403,-0.1740776560,-0.4529108137,-0.4471245820,-0.1240448733,-0.2716271179,-0.3267348002,-0.2501221598,-0.1093533104,-0.3430476222,-0.5277593966,-0.2987654748,1.0875329754,-0.4781422391,-0.3368607684,-0.3673963669,-0.2746851390,-0.1740776560,0.2840952264,0.0515686622,-0.3606678539,-0.3207526750,-0.2484946100,-0.2757801013,-0.2716945696,-0.4529108137,-0.4417767826,1.4145922990,-0.5647066799,-0.2800405738,-0.2542801708,-0.1740776560,-0.3510851418,2.1442250697,-0.2919727474,-0.3868392355,-0.4111378541,-0.3263988575,-0.2060788209,-0.1740776560,0.3594135561,-0.5022002067,-0.2222865506,-0.4759881433,-0.3370999312,-0.1740776560,-0.4995677357,-0.3113995777,-0.1740776560,-0.5684965717,-0.4161251893,-0.3651483717,-0.4599755644,-0.5317741400,2.6372206789,-0.3536097742,-0.1873302496,-0.3113995777,-0.1740776560,-0.6030226892,-0.4161251893,-0.4161251893,-0.7939162615,-0.3113995777,-3.1139957766,3.1139957766,0.9553302944,-0.1740776560,-0.1740776560,-0.4161251893,-0.2501221598,-0.5109523080,
