BM,1.7579234922,0.8670954908,-0.3947071573,-1.0958749607,1.4674332031,1.6970669106,-1.5444904727,-2.3276275501,-2.4134929183,0.0540539378,2.9952544453,1.2906259061,-0.6979353122,-1.5953973062,-0.7821820405,-2.9771431667,-3.6963643201,0.0511066909,-1.2105372625,-0.4877448456,-0.2124682584,-0.0707344260,-0.2173751287,-0.6788023234,-0.3098469590,0.2112008915,
Xact,2.3326152697,-0.5669041052,0.0054295644,-0.4344305472,1.8153902378,0.2655274427,0.0019428427,-0.6635083336,1.2355079620,-0.6379276861,2.6348843227,1.0158507986,-0.9205336794,1.3409102650,-1.1956393453,0.6152699271,0.6740861641,0.5443381600,1.1583330795,1.1104570070,1.6400476454,0.2589200378,2.0316626636,-0.0178594090,-0.9158732847,1.0501110028,
CL,2.0937292096,-1.4260093740,0.1524794170,0.7777036457,-1.0547401558,-0.4904461332,0.4521682249,-0.4321738860,-1.0559850567,0.0685757595,-0.5100416414,0.7340704913,-1.1357785583,-0.2579422249,1.8451614606,1.0963588048,-0.1970235638,1.1737700690,1.5239423043,-0.6498886952,-2.2292994856,1.9885141652,0.6409014287,-0.3229294014,-0.9667541561,-0.4469972917,
COL,1.9366586946,-0.8405216773,-0.0427748989,-0.0173152550,-0.0092263589,0.6047861618,-0.6930419651,-0.7669311659,0.6300030003,0.4091363430,0.3968359098,1.3107127720,-0.6449289241,-0.2676692275,-0.0320063931,-0.6164775032,-0.2673840171,0.3591647623,1.5575429925,-0.5527657660,-1.0059643460,-0.2403883353,-0.6425400586,0.7215000049,0.7054238444,0.3271674510,
CUS,-4.9539986699,-2.1654105852,-4.1325660962,-8.1572883655,-3.7882294882,2.5970764010,2.8941251999,1.8433909040,-0.8075146916,0.6174686726,-1.0987804159,0.7364966306,0.5646893237,0.6880174087,-0.8784594888,-0.8107389792,0.2803359294,1.2273478812,0.0038952318,-0.3926107195,0.1427637976,-0.0308903667,-0.0544468753,0.2935714452,-0.1837607315,0.2312008158,
PI2,0.3467961097,-0.7289780954,-0.1254652977,-1.8318711621,-1.6918853157,1.0942153974,-0.2058372583,-1.3421471338,-4.4996399234,-5.3501362664,-0.4109247612,-2.8469527423,-1.3761820667,-1.1775519218,2.1073014562,1.1194690259,-0.0792017624,-1.0405713276,0.3718641457,0.1076754195,0.4960018318,-0.2984332372,0.5447083413,-0.2364604189,0.4756929183,-0.0470330294,
IMT,2.3971959156,-0.9249061725,0.3361104620,0.2634588376,0.1979854095,0.0903655970,0.0233318239,-0.0572722901,0.5093741923,0.2223943715,1.0100304628,0.8328140571,-0.3934620531,0.5999339701,0.4418979671,-0.6928763699,0.4255642007,0.5988035937,1.4362384760,0.3299904662,-0.1787387612,-0.6972310730,-0.6677172356,0.6077488254,0.8422985685,-0.1662589851,
NCS,0.8584724146,-2.0634383415,-0.0154680538,-0.7566700961,-0.6489697821,-0.1709777185,0.9106737761,0.2468592572,0.2894813366,2.0021095615,-1.6959382900,2.4611699536,-0.2021642955,0.9788423722,0.7934841175,-1.3409049167,-0.2262828088,-3.6477421585,0.0083603049,1.0640219258,-0.5203009390,-0.1522695667,1.5621860902,-0.4540863645,0.7822644030,-0.4283276240,
TAX,0.8299707900,-0.7741847770,0.1559743769,1.1973584719,-0.9206546538,-1.1667950696,1.8936616637,-1.1401691432,-0.0823696202,1.3579548357,-2.3839520778,2.6587493751,-1.0423056223,0.0575767859,1.6532673007,3.6593203847,-3.0262530121,0.8131154694,-0.8452715405,0.2701924208,1.4674435916,-0.2880800737,-0.5742614910,0.1944557339,0.2712006888,0.2624811896,
AM,-4.3754004439,0.5569799451,-3.8982452594,4.8122737577,-3.0776120918,-0.4892073264,5.2690767386,-4.4105060571,3.2833432538,-0.6103185785,1.2165288942,-1.7958502902,0.0773452281,-0.0585922069,0.0398899612,-1.0655902156,-0.0671755824,-0.0686430773,-0.1097066480,0.0257958829,-0.2355662822,-0.1380075589,0.0613239830,-0.3241722889,0.0600895053,0.0331718306,
AV,2.1895708188,-1.1064533491,0.4436223342,0.9234717246,-0.4265939414,-0.4356885619,0.3669215763,0.3617719219,-0.1631741796,0.2605535649,0.1531936054,0.3646223363,-0.1024077245,0.1522195129,0.6335356015,-0.3293402651,0.9491296134,0.7232219529,0.1873615284,0.2310323549,-0.2681075005,0.0542464334,-0.5435447014,-0.1379175155,0.1983720704,0.2562175992,
DSRV,0.1948379207,-0.0307025981,0.5387730776,-0.4030820333,-2.0672310635,-1.7049065297,-0.6767856106,-0.4667115800,-0.0473140009,1.7842974418,-0.9712841008,-0.4121682848,-3.0909389014,-4.2126017034,-4.7506339632,1.0895133125,1.0722753730,-0.7425714255,0.6225985352,0.0804140919,0.3365535269,0.0877047763,-0.3984234358,-0.4726689553,-0.0426801170,-0.2405257070,
GAIN,1.4104860354,-1.4564291216,0.7581823780,0.3485187765,-0.7143668305,-0.0370904426,0.2610325438,0.5236792956,-0.1760628116,-0.5712559834,-0.4574692483,0.4876468476,-0.1772373845,0.3853472888,1.3215871822,-1.2129561865,1.6039691802,-2.2848345242,-0.6270955105,0.6783293869,0.6034592992,1.3924631544,-2.0356326584,0.2608528097,-1.0860410902,0.7522615198,
HYPA,1.3511046639,-1.1941491283,0.7611300224,-0.0288645456,-0.1328787778,-1.3674661380,-0.2952433327,0.1706987621,-0.2720402839,0.0581648994,0.8796304658,0.5713667461,0.2599031200,-0.1116102100,0.0587480903,-1.1510556294,0.7866447963,1.9941393103,-1.5430199315,1.0637953233,0.6260250475,2.0181736880,0.1809533756,-0.2690886387,0.9090115096,-0.6733200622,
MARS,1.8960168226,-1.0033078049,0.8897326352,0.5500107525,-0.5314556095,-0.7532652052,-0.8124795272,-0.0991245801,0.9400402484,0.7513384882,-1.1872098180,-0.2286168471,-0.3991004466,-1.0277344951,0.2186760829,-0.2413169143,0.0116066669,-0.3458973882,-1.6239793197,-1.8669490867,-0.8712379885,-0.4486977011,1.1640618068,1.8124499005,-0.4539962502,0.5249528806,
RDF,-12.7741101937,-8.7451129151,4.1566057817,1.9791154216,3.1801112432,0.6041752211,-1.1742070876,-0.1601563793,-0.6908879244,-0.2150977864,0.3350979479,0.3505452710,-0.1634321825,0.1664630265,-0.2729492497,0.1514392121,0.1841193884,0.2067088270,-0.0116588579,-0.1939371177,-0.1031107422,-0.2253564295,-0.0255708615,-0.0711195026,-0.0033833358,-0.0048231959,
CmaX,-0.6943467547,1.4750706048,2.0522235146,-0.5393406011,0.8955502933,2.9272724985,0.4706339605,3.4611094266,1.8816215861,3.6461376109,0.1554964748,-4.9174223039,-1.2429404547,-0.8505306386,1.6922392860,-0.2356863820,-1.9835328190,0.1428584317,0.2901658790,1.2729159909,-0.0619628034,0.2422004271,0.0985450052,0.0300124586,-0.0022881681,0.1628201167,
C4I,1.5568784061,0.6575343317,0.2380942786,0.3371072269,0.7261145192,0.2834155525,-1.0067934589,1.0486453143,1.1393906477,0.9809476813,-0.7759376803,0.0260290414,0.3248079909,-0.1231455055,1.4802766510,-1.0584781694,1.0739842647,0.3540970588,0.9106661324,-2.5867218717,1.4498285552,-0.1217346050,0.1955508427,-1.4183544892,0.8183176207,0.2423066191,
V+,1.5732415564,0.3569862797,-1.0956354326,-0.4698749824,1.3298190917,1.7986165274,-1.8177528165,-5.1581440092,-3.4985027436,4.3878927990,-0.5800807828,-2.3006900901,2.1542020024,2.5441403653,-0.7995717040,1.2661792011,1.2625016244,-0.1743107975,-0.1543325699,-0.1109877003,0.0415811388,0.0945092558,-0.1398573585,0.0877936609,-0.0218532292,-0.0860056583,
BRDG,1.5916601774,-1.7359931126,0.3443378361,1.6237527407,-1.8468783409,-1.5767906054,-0.5997903170,1.6154066800,0.1232053551,-1.7299643745,0.0397593192,-1.7084190161,2.4870759984,0.6724051369,-2.4379220801,-0.0289763211,-1.4010460702,-0.4722120658,-0.0553762152,-0.5480691426,0.6622395235,1.5521032589,0.2837724603,1.1256259051,0.8980545581,0.0867848116,
CCG,2.2949385717,-1.9166666897,0.7191499611,1.1358180954,-1.3229830914,-1.0912887551,0.4741524418,1.8140921750,-0.2937422089,-0.2813647700,-0.9167979627,0.0663829082,2.6866627124,1.1959222144,-1.1726324647,-0.1590683653,-1.5271070473,0.0355434381,0.5593369360,0.0777410069,0.2831431193,-0.7359374862,-0.2630576154,-1.0217981849,-1.1707043909,-0.8596771320,
CSE,-3.7921154965,2.9047037853,-6.4510661166,3.5006011208,-0.8827373201,3.2185048571,-6.5011121570,1.1872351592,1.4176847267,-1.1571671578,-2.1517374853,0.8222682108,-0.7246869230,0.5205133079,0.0007836204,0.0457678574,-0.1713108250,0.2269346275,-0.1131593647,0.6282459047,0.0368493539,0.1369325962,0.0684431231,0.0187244468,-0.1675078672,-0.1387017526,
DDR,1.3840513313,0.3499117829,0.8078582643,-0.5356561274,-0.7994082379,-1.8034824205,-0.5584558151,0.4136641872,0.0587220432,-0.1945399131,-0.1669640356,-0.1383028267,0.4122338459,-1.0560852106,0.5551323093,-0.0680297646,1.9051821352,1.3558386066,-1.9459463155,1.2100668287,-0.6009857839,-1.2182529850,0.7280132602,-0.1232315387,-0.1183265416,-0.3442106593,
LCS,2.3005974011,-0.9782038547,0.6807798438,1.5259161352,-0.9267694496,-1.2588958774,-0.2139072581,1.8866592081,-0.6164094817,-1.2649910088,-0.6208731688,-0.8226287591,2.5851389342,0.3962234709,-1.4878906990,0.2631790071,-0.8526656427,0.1385998925,0.3931809228,0.3353074018,-0.9676137277,-1.0481569565,-0.0502984919,-0.4255574842,-0.1079627761,0.6605532726,
NCCIP,-4.6933154992,10.5064691914,4.7458932509,2.6359861863,-1.6111144057,2.1241395574,2.2898129256,1.6716594339,-3.0789104498,-0.0930597059,0.1998689163,1.5855169393,-0.5197247267,1.5915836455,-1.0974998782,-0.0606138517,0.5849499081,0.0101591612,-0.0945264565,-0.3285206246,-0.1749967044,0.1199946678,0.2035020855,0.1693754344,0.0877170875,0.0469809988,
NCMS,1.7472081439,-0.3893786847,1.0676968765,1.3274642638,-0.6805150202,0.0110076052,0.2003036620,0.4982416546,0.4401996471,0.1547620774,-0.5634300346,-0.7610800463,-0.5734792558,-0.3705734336,1.3396686435,-1.0579254230,1.2175490007,0.2400643834,-0.5771417607,-1.3598058691,1.2413249777,-0.6493405430,0.0539202184,-0.0072523557,-0.8140527009,-0.5147520890,
NOS,1.9459083352,-0.5473436645,-0.1701520091,0.9200393650,-0.3771844350,-0.3019716969,-0.3316107051,0.4787960741,-0.8832110126,-0.1387975128,0.1839470358,0.2745670532,0.1356200530,-0.3740141488,0.4468980112,0.0340003006,1.1832776821,0.7278661057,-0.2649810566,1.0046684838,-0.9328628607,-0.8961763262,-0.5799485396,-0.5267424469,0.5223251810,1.0147033496,
PMC,0.0908571565,1.9299334580,-4.0272517665,-0.1906997112,8.5073318848,-3.6129846126,2.9842172053,1.3402171758,-1.2980182195,-1.0951993053,-2.5392332901,-0.8928330101,-1.7166414389,1.0782513222,-1.0652821287,-0.7424901478,-0.0773070719,0.1397356803,-0.1330555194,-0.1466410828,-0.2590028307,0.0460895713,-0.1799091850,0.1291314577,0.0034761809,-0.0842188892,
PMI,-0.8637009943,1.4859247633,-3.0819929651,0.3919010605,3.4131482082,2.2098024391,1.6473963863,1.8458795695,-0.1773040988,0.4233846978,2.9000223236,1.3508028510,3.7188074503,-4.0065764256,0.8866541525,2.3130332327,0.8488967174,-1.0434999475,-0.0807792956,-0.2706329692,-0.0399095898,0.2537316262,0.0226178436,0.1437593875,0.0131559663,-0.2214054212,
RS,-0.2710374383,3.7874047015,4.4603065630,-4.1702982770,2.4860961556,1.9710035515,-0.4733856036,-3.6406860434,4.5787412751,-2.6610687321,-3.1021821086,0.2608327660,1.9976825466,-0.9217071998,-0.3388638066,0.0189573636,-0.2071732223,0.1534932106,0.1477184379,0.3552025642,-0.2997800208,0.3349614423,-0.2008096470,-0.1845208778,-0.0438256001,-0.0401684459,
RTS,-5.9232159313,4.6872497692,-0.3980533513,-3.5654016517,-1.2894819337,-8.1220658962,-3.0197423616,-0.3543981443,0.6579781866,0.8315499595,2.3049558321,-0.3784979268,0.5649788688,0.5126095961,1.6711965025,0.3736070771,-0.5346608928,-0.6005872141,0.5175404691,-0.0997276886,-0.0008037491,-0.0841113638,-0.2063126507,0.0532953703,-0.1419562208,0.0244262739,
STOP,1.8166487136,-0.0025243330,0.4280033193,-0.0540898303,0.4863479386,1.0384368850,0.0054797696,-0.5557770081,-0.1094275179,-0.6294823426,1.4456861791,0.4411587297,-0.5588443459,0.1733435688,0.2559542666,-0.8143628107,0.0374437458,0.1274990924,1.1221828667,0.7335072884,0.7993538735,-1.0706999422,-0.4724499723,1.6396301022,-0.2620915913,-1.1711187270,
T2SI,2.4438734713,-0.9686457191,0.0909946468,-1.9997394362,0.2955881183,1.8479103837,-0.2202949939,1.1673271052,2.9787136824,-1.3803515778,3.2816447675,-0.4387675414,-2.2864237787,3.3574286003,-1.1308194212,2.6179366756,0.2129722673,-0.9235364795,-1.4203606175,-0.9843565691,-0.8639029078,-0.1660461247,-0.5880066217,-0.5953647476,0.2255049077,-0.4197959534,
