BM,1.7579234922,0.8670954908,-0.3947071573,-1.0958749607,1.4674332031,1.6970669106,-1.5444904727,-2.3276275501,-2.4134929183,0.0540539378,2.9952544453,1.2906259061,
Xact,2.3326152697,-0.5669041052,0.0054295644,-0.4344305472,1.8153902378,0.2655274427,0.0019428427,-0.6635083336,1.2355079620,-0.6379276861,2.6348843227,1.0158507986,
CL,2.0937292096,-1.4260093740,0.1524794170,0.7777036457,-1.0547401558,-0.4904461332,0.4521682249,-0.4321738860,-1.0559850567,0.0685757595,-0.5100416414,0.7340704913,
COL,1.9366586946,-0.8405216773,-0.0427748989,-0.0173152550,-0.0092263589,0.6047861618,-0.6930419651,-0.7669311659,0.6300030003,0.4091363430,0.3968359098,1.3107127720,
CUS,-4.9539986699,-2.1654105852,-4.1325660962,-8.1572883655,-3.7882294882,2.5970764010,2.8941251999,1.8433909040,-0.8075146916,0.6174686726,-1.0987804159,0.7364966306,
PI2,0.3467961097,-0.7289780954,-0.1254652977,-1.8318711621,-1.6918853157,1.0942153974,-0.2058372583,-1.3421471338,-4.4996399234,-5.3501362664,-0.4109247612,-2.8469527423,
IMT,2.3971959156,-0.9249061725,0.3361104620,0.2634588376,0.1979854095,0.0903655970,0.0233318239,-0.0572722901,0.5093741923,0.2223943715,1.0100304628,0.8328140571,
NCS,0.8584724146,-2.0634383415,-0.0154680538,-0.7566700961,-0.6489697821,-0.1709777185,0.9106737761,0.2468592572,0.2894813366,2.0021095615,-1.6959382900,2.4611699536,
TAX,0.8299707900,-0.7741847770,0.1559743769,1.1973584719,-0.9206546538,-1.1667950696,1.8936616637,-1.1401691432,-0.0823696202,1.3579548357,-2.3839520778,2.6587493751,
AM,-4.3754004439,0.5569799451,-3.8982452594,4.8122737577,-3.0776120918,-0.4892073264,5.2690767386,-4.4105060571,3.2833432538,-0.6103185785,1.2165288942,-1.7958502902,
AV,2.1895708188,-1.1064533491,0.4436223342,0.9234717246,-0.4265939414,-0.4356885619,0.3669215763,0.3617719219,-0.1631741796,0.2605535649,0.1531936054,0.3646223363,
DSRV,0.1948379207,-0.0307025981,0.5387730776,-0.4030820333,-2.0672310635,-1.7049065297,-0.6767856106,-0.4667115800,-0.0473140009,1.7842974418,-0.9712841008,-0.4121682848,
GAIN,1.4104860354,-1.4564291216,0.7581823780,0.3485187765,-0.7143668305,-0.0370904426,0.2610325438,0.5236792956,-0.1760628116,-0.5712559834,-0.4574692483,0.4876468476,
HYPA,1.3511046639,-1.1941491283,0.7611300224,-0.0288645456,-0.1328787778,-1.3674661380,-0.2952433327,0.1706987621,-0.2720402839,0.0581648994,0.8796304658,0.5713667461,
MARS,1.8960168226,-1.0033078049,0.8897326352,0.5500107525,-0.5314556095,-0.7532652052,-0.8124795272,-0.0991245801,0.9400402484,0.7513384882,-1.1872098180,-0.2286168471,
RDF,-12.7741101937,-8.7451129151,4.1566057817,1.9791154216,3.1801112432,0.6041752211,-1.1742070876,-0.1601563793,-0.6908879244,-0.2150977864,0.3350979479,0.3505452710,
CmaX,-0.6943467547,1.4750706048,2.0522235146,-0.5393406011,0.8955502933,2.9272724985,0.4706339605,3.4611094266,1.8816215861,3.6461376109,0.1554964748,-4.9174223039,
C4I,1.5568784061,0.6575343317,0.2380942786,0.3371072269,0.7261145192,0.2834155525,-1.0067934589,1.0486453143,1.1393906477,0.9809476813,-0.7759376803,0.0260290414,
V+,1.5732415564,0.3569862797,-1.0956354326,-0.4698749824,1.3298190917,1.7986165274,-1.8177528165,-5.1581440092,-3.4985027436,4.3878927990,-0.5800807828,-2.3006900901,
